"","Date","Temperature","Celsius"
"439",1986-11-26,"ATMP",0.8
"440",1986-11-27,"ATMP",2
"441",1986-11-28,"ATMP",-0.1
"442",1986-11-29,"ATMP",0.5
"443",1986-11-30,"ATMP",1.3
"444",1986-12-01,"ATMP",1.8
"445",1986-12-02,"ATMP",2.3
"446",1986-12-03,"ATMP",3
"447",1986-12-04,"ATMP",1.7
"448",1986-12-05,"ATMP",1.1
"449",1986-12-06,"ATMP",1.5
"450",1986-12-07,"ATMP",3.7
"451",1986-12-08,"ATMP",4
"452",1986-12-09,"ATMP",3.3
"453",1986-12-10,"ATMP",4.9
"454",1986-12-11,"ATMP",4.4
"455",1986-12-12,"ATMP",4.3
"456",1986-12-13,"ATMP",2.9
"457",1986-12-14,"ATMP",3.2
"458",1986-12-15,"ATMP",0.8
"459",1986-12-16,"ATMP",-1
"460",1986-12-17,"ATMP",0.8
"461",1986-12-18,"ATMP",2.1
"462",1986-12-19,"ATMP",2.1
"463",1986-12-20,"ATMP",1.3
"464",1986-12-21,"ATMP",2.5
"465",1986-12-22,"ATMP",3.3
"466",1986-12-23,"ATMP",2.7
"467",1986-12-24,"ATMP",3.2
"468",1986-12-25,"ATMP",-2.5
"469",1986-12-26,"ATMP",-2.6
"470",1986-12-27,"ATMP",-3.7
"471",1986-12-28,"ATMP",-6.1
"472",1986-12-29,"ATMP",-2
"473",1986-12-30,"ATMP",0.3
"474",1986-12-31,"ATMP",-2.1
"475",1987-01-01,"ATMP",-4.7
"476",1987-01-02,"ATMP",-6.2
"477",1987-01-03,"ATMP",3.3
"478",1987-01-04,"ATMP",2.5
"479",1987-01-05,"ATMP",2
"480",1987-01-06,"ATMP",-2.4
"481",1987-01-07,"ATMP",-5.8
"482",1987-01-08,"ATMP",-5.7
"483",1987-01-09,"ATMP",-4.2
"484",1987-01-10,"ATMP",-6.6
"485",1987-01-11,"ATMP",2
"486",1987-01-12,"ATMP",2.2
"487",1987-01-13,"ATMP",-0.4
"488",1987-01-14,"ATMP",0.8
"489",1987-01-15,"ATMP",2.6
"490",1987-01-16,"ATMP",1.7
"491",1987-01-17,"ATMP",-0.3
"492",1987-01-18,"ATMP",-0.1
"493",1987-01-19,"ATMP",1.4
"494",1987-01-20,"ATMP",1.5
"495",1987-01-21,"ATMP",-1.2
"496",1987-01-22,"ATMP",-2.6
"497",1987-01-23,"ATMP",-1.4
"498",1987-01-24,"ATMP",-2.9
"499",1987-01-25,"ATMP",-3.4
"500",1987-01-26,"ATMP",NA
"501",1987-01-27,"ATMP",1.2
"502",1987-01-28,"ATMP",3.2
"503",1987-01-29,"ATMP",NA
"504",1987-01-30,"ATMP",-5.8
"505",1987-01-31,"ATMP",-4.2
"506",1987-02-01,"ATMP",-3.9
"507",1987-02-02,"ATMP",-6.4
"508",1987-02-03,"ATMP",-5.3
"509",1987-02-04,"ATMP",-4.2
"510",1987-02-05,"ATMP",-1.5
"511",1987-02-06,"ATMP",-1.2
"512",1987-02-07,"ATMP",0.6
"513",1987-02-08,"ATMP",0.5
"514",1987-02-09,"ATMP",NA
"515",1987-02-10,"ATMP",2.2
"516",1987-02-11,"ATMP",1.7
"517",1987-02-12,"ATMP",1.8
"518",1987-02-13,"ATMP",0.8
"519",1987-02-14,"ATMP",0
"520",1987-02-15,"ATMP",-1
"521",1987-02-16,"ATMP",-0.5
"522",1987-02-17,"ATMP",-2.1
"523",1987-02-18,"ATMP",-4.2
"524",1987-02-19,"ATMP",-4.4
"525",1987-02-20,"ATMP",-5.4
"526",1987-02-21,"ATMP",-6.2
"527",1987-02-22,"ATMP",-4.5
"528",1987-02-23,"ATMP",-1.4
"529",1987-02-24,"ATMP",-1.3
"530",1987-02-25,"ATMP",1.1
"531",1987-02-26,"ATMP",1.2
"532",1987-02-27,"ATMP",2.3
"533",1987-02-28,"ATMP",1.8
"534",1987-03-01,"ATMP",2.5
"535",1987-03-02,"ATMP",2.5
"536",1987-03-03,"ATMP",2.7
"537",1987-03-04,"ATMP",1.9
"538",1987-03-05,"ATMP",1.7
"539",1987-03-06,"ATMP",-0.1
"540",1987-03-07,"ATMP",-1.1
"541",1987-03-08,"ATMP",-2.9
"542",1987-03-09,"ATMP",-0.8
"543",1987-03-10,"ATMP",0.7
"544",1987-03-11,"ATMP",2.9
"545",1987-03-12,"ATMP",2.7
"546",1987-03-13,"ATMP",2.8
"547",1987-03-14,"ATMP",2.7
"548",1987-03-15,"ATMP",0.9
"549",1987-03-16,"ATMP",2.2
"550",1987-03-17,"ATMP",2.1
"551",1987-03-18,"ATMP",2.1
"552",1987-03-19,"ATMP",1.7
"553",1987-03-20,"ATMP",-0.1
"554",1987-03-21,"ATMP",-7.7
"555",1987-03-22,"ATMP",-9.1
"556",1987-03-23,"ATMP",-5.8
"557",1987-03-24,"ATMP",-3.7
"558",1987-03-25,"ATMP",-3.5
"559",1987-03-26,"ATMP",-1.6
"560",1987-03-27,"ATMP",0.7
"561",1987-03-28,"ATMP",0.7
"562",1987-03-29,"ATMP",0.4
"563",1987-03-30,"ATMP",-0.7
"564",1987-03-31,"ATMP",-0.5
"565",1987-04-01,"ATMP",0.8
"566",1987-04-02,"ATMP",2.2
"567",1987-04-03,"ATMP",1
"568",1987-04-04,"ATMP",0.9
"569",1987-04-05,"ATMP",0.8
"570",1987-04-06,"ATMP",1.1
"571",1987-04-07,"ATMP",0.7
"572",1987-04-08,"ATMP",1.2
"573",1987-04-09,"ATMP",-0.9
"574",1987-04-10,"ATMP",-2.1
"575",1987-04-11,"ATMP",-2
"576",1987-04-12,"ATMP",-1.2
"577",1987-04-13,"ATMP",-0.2
"578",1987-04-14,"ATMP",-5
"579",1987-04-15,"ATMP",NA
"580",1987-04-16,"ATMP",NA
"581",1987-04-17,"ATMP",NA
"582",1987-04-18,"ATMP",NA
"583",1987-04-19,"ATMP",NA
"584",1987-04-20,"ATMP",NA
"585",1987-04-21,"ATMP",NA
"586",1987-04-22,"ATMP",NA
"587",1987-04-23,"ATMP",NA
"588",1987-04-24,"ATMP",NA
"589",1987-04-25,"ATMP",NA
"590",1987-04-26,"ATMP",NA
"591",1987-04-27,"ATMP",NA
"592",1987-04-28,"ATMP",NA
"593",1987-04-29,"ATMP",NA
"594",1987-04-30,"ATMP",NA
"595",1987-05-01,"ATMP",1.3
"596",1987-05-02,"ATMP",-0.3
"597",1987-05-03,"ATMP",0.7
"598",1987-05-04,"ATMP",0.3
"599",1987-05-05,"ATMP",1.6
"600",1987-05-06,"ATMP",3.3
"601",1987-05-07,"ATMP",1.3
"602",1987-05-08,"ATMP",2.9
"603",1987-05-09,"ATMP",2.4
"604",1987-05-10,"ATMP",2.5
"605",1987-05-11,"ATMP",2.5
"606",1987-05-12,"ATMP",2.9
"607",1987-05-13,"ATMP",1.8
"608",1987-05-14,"ATMP",2.6
"609",1987-05-15,"ATMP",2.8
"610",1987-05-16,"ATMP",3.6
"611",1987-05-17,"ATMP",2.6
"612",1987-05-18,"ATMP",1.7
"613",1987-05-19,"ATMP",2.5
"614",1987-05-20,"ATMP",2.4
"615",1987-05-21,"ATMP",2.6
"616",1987-05-22,"ATMP",2.6
"617",1987-05-23,"ATMP",3.1
"618",1987-05-24,"ATMP",2.7
"619",1987-05-25,"ATMP",2.5
"620",1987-05-26,"ATMP",3.1
"621",1987-05-27,"ATMP",2.5
"622",1987-05-28,"ATMP",3.1
"623",1987-05-29,"ATMP",4.1
"624",1987-05-30,"ATMP",3.6
"625",1987-05-31,"ATMP",3.9
"626",1987-06-01,"ATMP",4.1
"627",1987-06-02,"ATMP",4.6
"628",1987-06-03,"ATMP",5
"629",1987-06-04,"ATMP",4.4
"630",1987-06-05,"ATMP",4.5
"631",1987-06-06,"ATMP",4
"632",1987-06-07,"ATMP",4.4
"633",1987-06-08,"ATMP",4
"634",1987-06-09,"ATMP",4.2
"635",1987-06-10,"ATMP",4.1
"636",1987-06-11,"ATMP",4.6
"637",1987-06-12,"ATMP",5.4
"638",1987-06-13,"ATMP",3.3
"639",1987-06-14,"ATMP",5.1
"640",1987-06-15,"ATMP",4.2
"641",1987-06-16,"ATMP",5.1
"642",1987-06-17,"ATMP",5.5
"643",1987-06-18,"ATMP",5.9
"644",1987-06-19,"ATMP",5
"645",1987-06-20,"ATMP",5.5
"646",1987-06-21,"ATMP",5.2
"647",1987-06-22,"ATMP",NA
"648",1987-06-23,"ATMP",NA
"649",1987-06-24,"ATMP",NA
"650",1987-06-25,"ATMP",NA
"651",1987-06-26,"ATMP",NA
"652",1987-06-27,"ATMP",NA
"653",1987-06-28,"ATMP",NA
"654",1987-06-29,"ATMP",NA
"655",1987-06-30,"ATMP",NA
"656",1987-07-01,"ATMP",NA
"657",1987-07-02,"ATMP",NA
"658",1987-07-03,"ATMP",NA
"659",1987-07-04,"ATMP",NA
"660",1987-07-05,"ATMP",NA
"661",1987-07-06,"ATMP",NA
"662",1987-07-07,"ATMP",NA
"663",1987-07-08,"ATMP",NA
"664",1987-07-09,"ATMP",NA
"665",1987-07-10,"ATMP",NA
"666",1987-07-11,"ATMP",NA
"667",1987-07-12,"ATMP",NA
"668",1987-07-13,"ATMP",NA
"669",1987-07-14,"ATMP",NA
"670",1987-07-15,"ATMP",NA
"671",1987-07-16,"ATMP",NA
"672",1987-07-17,"ATMP",NA
"673",1987-07-18,"ATMP",NA
"674",1987-07-19,"ATMP",NA
"675",1987-07-20,"ATMP",NA
"676",1987-07-21,"ATMP",NA
"677",1987-07-22,"ATMP",NA
"678",1987-07-23,"ATMP",NA
"679",1987-07-24,"ATMP",NA
"680",1987-07-25,"ATMP",NA
"681",1987-07-26,"ATMP",NA
"682",1987-07-27,"ATMP",NA
"683",1987-07-28,"ATMP",NA
"684",1987-07-29,"ATMP",NA
"685",1987-07-30,"ATMP",NA
"686",1987-07-31,"ATMP",NA
"687",1987-08-01,"ATMP",NA
"688",1987-08-02,"ATMP",NA
"689",1987-08-03,"ATMP",NA
"690",1987-08-04,"ATMP",NA
"691",1987-08-05,"ATMP",NA
"692",1987-08-06,"ATMP",NA
"693",1987-08-07,"ATMP",NA
"694",1987-08-08,"ATMP",NA
"695",1987-08-09,"ATMP",NA
"696",1987-08-10,"ATMP",NA
"697",1987-08-11,"ATMP",NA
"698",1987-08-12,"ATMP",NA
"699",1987-08-13,"ATMP",NA
